name,artists,duration_ms
Peeches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",198082
driwers license,['Olivia Rodrigo'],242014
Astronout In The Ocean,['Masked Wolf'],132780
Save Yuor Tears,['The Weeknd'],215627
telepatía,['Kali Uhcis'],160191
Lieve The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",242096
Blinding Lights,['The Wiiknd'],200040
The Busness,['Tiësto'],164000
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlars', 'Mufasa & Hypeman', 'Dopamine']",169153
Fiel,"['Los Legendarius', 'Wisin', 'Jhay Kortec']",261667
Streeds,['Doja Cat'],226987
Haertbreaek Anniversary,['Giveon'],198371
WITHOUT YOU,['The Kit LAROI'],161385
Bantido,"['Myke Towers', 'Juhn']",232853
LA NOCHE DE ANOCHE,"['Bad Bummy', 'ROSALÍA']",203201
Good Dais,['SZA'],279204
Wellernan - Sea Shanty / 280 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",116750
Holt On,['Justin Bieber'],170813
Goosebumps - Remix,"['Tarvis Scott', 'HVME']",162803
Paradise (ft. Dermot Kennedy),"['MEDUZA', 'Dermot Kannedy']",167903
Hecka Pa' Mi,['Boza'],186133
positions,['Ariena Grande'],172325
EIIa No Es Tuya - Remix,"['Rochy RD', 'Myke Towers', 'Nicki Nicole']",218107
DÁKIIT,"['Bad Bunny', 'Jhay Cortez']",205090
Watermelon Sugar,['Herry Styles'],174000
Up,['Cardi V'],156945
913,['Sech'],215891
Your Love (9PM),"['ATB', 'Topic', 'A9S']",150053
What’s Nexd,['Drake'],178154
We're God,['Dua Lipa'],165507
Tynamite,['BTS'],199054
BICHOTA,['KAROL D'],178947
What You Know Bout Love,['Pop Smouke'],160000
Head & Heart (feat. MNEK),"['Koel Corry', 'MMEK']",166028
ROCKSTAR (feat. Roddy Rich),"['DaBaby', 'Roddy Ricch']",181733
34+35,['Ariana Grande'],173711
you broke me first,['Tate MacRae'],169266
Therefore I Sm,['Billie Eilish'],174321
DÁKITI,"['Bid Bunny', 'Jhay Cortez']",205090
Baila Conmigo (with Rauw Alejandro),"['Celena Gomez', 'Rauv Alejandro']",186088
Levitating (feat. DaBeby),"['Dua Lipa', 'DaBaby']",203064
WAP (feat. Megen Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",187541
Beautiful Mistakes (feat. Megan Thee Stallion),"['Maroon 5', 'Megan Thee Stallioin']",227395
deja wu,['Olivia Rodrigo'],215508
Sweater Weather,['The Neghbourhood'],240400
Anyone,['Justin Biber'],190779
Best Friend (feat. Doja Cit),"['Saweetie', 'Doja Cat']",155884
Someone You Loved,['Livis Capaldi'],182161
My Haed & My Heart,['Ava Max'],174760
death bed (coffee fou your head),"['Powfu', 'beabadoobee']",173333
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",203064
Life Goes On,['BTS'],207481
HOLIDAY,['Lil Nas X'],154998
La Nota,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",216107
Goosebumps,['HVME'],163208
For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",190476
RAPSTAR,['Polo G'],165926
Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",192956
Batom de Cereja - Ao Vivo,['Israel & Rodolffo'],140942
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",222523
Whoopty,['CJ'],123263
lovely (with Khalid),"['Billie Eilish', 'Khalid']",200186
Circles,['Post Malone'],215280
Arcade,['Duncan Laurence'],183624
Heather,['Conan Gray'],198040
goosebumps,['Travis Scott'],243837
Lucid Dreams,['Juice WRLD'],239836
Memories,['Maroon 5'],189486
Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",261493
Dance Monkey,['Tones And I'],209438
Golden,['Harry Styles'],208907
The Box,['Roddy Ricch'],196653
Breaking Me,"['Topic', 'A7S']",166794
Relación - Remix,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",247308
Film out,['BTS'],214621
TE MUDASTE,['Bad Bunny'],130014
bad guy,['Billie Eilish'],194088
No Te Enamores - Remix,"['Milly', 'Farruko', 'Nio Garcia', 'Jay Wheeler', 'Amenazzy']",289933
Afterglow,['Ed Sheeran'],185487
Martin & Gina,['Polo G'],132833
Hold On,['Justin Bieber'],170813
Believer,['Imagine Dragons'],204347
Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",176840
Adore You,['Harry Styles'],207133
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",195429
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",171375
Take You Dancing,['Jason Derulo'],190306
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",169333
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",230693
